date,region_id,region_name,ntl_sum,area_km2,light_density
2024-12-01,HOU,Houston,1689765.6746469587,12866.28512408143,131.33283293126127
2025-01-01,HOU,Houston,1724921.8162094653,12866.28512408143,134.06525656585848
2025-02-01,HOU,Houston,1660144.3744675517,12866.28512408143,129.03059107250084
2025-03-01,HOU,Houston,1724152.8409092613,12866.28512408143,134.00548987385778
2025-04-01,HOU,Houston,1653049.8658439554,12866.28512408143,128.4791880408427
2025-05-01,HOU,Houston,1687399.525661869,12866.28512408143,131.148929888365
2025-06-01,HOU,Houston,1686107.5046677291,12866.28512408143,131.04851077113887
2025-07-01,HOU,Houston,1672805.6149633825,12866.28512408143,130.0146544889203
2025-08-01,HOU,Houston,1652341.7930544019,12866.28512408143,128.42415484495712
2025-09-01,HOU,Houston,1711004.3650945425,12866.28512408143,132.98355730451738
2025-10-01,HOU,Houston,1723615.7947964072,12866.28512408143,133.96374930090494
2025-11-01,HOU,Houston,1746137.3712596893,12866.28512408143,135.71418279791558
2025-12-01,HOU,Houston,1863036.2177275866,12866.28512408143,144.79985479574046
2026-01-01,HOU,Houston,1831129.7387266755,12866.28512408143,142.32000309859495
2022-01-01,LAX,Los Angeles,1296495.7020504773,12911.76793163744,100.41194272658049
2022-02-01,LAX,Los Angeles,1318650.346738845,12911.76793163744,102.12779177263427
2022-03-01,LAX,Los Angeles,1275979.1621507704,12911.76793163744,98.82296281241742
2022-04-01,LAX,Los Angeles,1357657.094274789,12911.76793163744,105.1488147450474
2022-05-01,LAX,Los Angeles,1342126.3080057502,12911.76793163744,103.94597510672149
2022-06-01,LAX,Los Angeles,1315243.825020194,12911.76793163744,101.86396099928957
2022-07-01,LAX,Los Angeles,1327885.9073039982,12911.76793163744,102.84307418895801
2022-08-01,LAX,Los Angeles,1273152.1344451904,12911.76793163744,98.60401311315485
2022-09-01,LAX,Los Angeles,1299636.105572451,12911.76793163744,100.65516298414714
2022-10-01,LAX,Los Angeles,1235356.1109261066,12911.76793163744,95.67675917556873
2022-11-01,LAX,Los Angeles,1330528.8731290996,12911.76793163744,103.04776852974038
2022-12-01,LAX,Los Angeles,1355473.2226018012,12911.76793163744,104.97967666228828
2023-01-01,LAX,Los Angeles,1400594.188797474,12911.76793163744,108.47423809141014
2023-02-01,LAX,Los Angeles,1395153.4917752445,12911.76793163744,108.05286302867391
2023-03-01,LAX,Los Angeles,1320907.3949350119,12911.76793163744,102.30259728401869
2023-04-01,LAX,Los Angeles,1362145.8689160645,12911.76793163744,105.49646463041103
2023-05-01,LAX,Los Angeles,1419092.4108629823,12911.76793163744,109.90690185701133
2023-06-01,LAX,Los Angeles,1379157.3812155426,12911.76793163744,106.81398461602005
2023-07-01,LAX,Los Angeles,1363983.5395993888,12911.76793163744,105.63878988695637
2023-08-01,LAX,Los Angeles,1332616.8092138767,12911.76793163744,103.20947652324149
2023-09-01,LAX,Los Angeles,1356324.644777,12911.76793163744,105.04561822658115
2023-10-01,LAX,Los Angeles,1312021.2348979115,12911.76793163744,101.61437549408652
2023-11-01,LAX,Los Angeles,1359686.6731950045,12911.76793163744,105.30600305039499
2023-12-01,LAX,Los Angeles,1396940.4189616442,12911.76793163744,108.19125826593815
2024-01-01,LAX,Los Angeles,1382523.430844903,12911.76793163744,107.07468087753763
2024-02-01,LAX,Los Angeles,1414849.1622665823,12911.76793163744,109.57826765146595
2024-03-01,LAX,Los Angeles,1437950.5556560755,12911.76793163744,111.36744117997155
2024-04-01,LAX,Los Angeles,1446125.9824793935,12911.76793163744,112.00061758668855
2024-05-01,LAX,Los Angeles,1260142.0571307838,12911.76793163744,97.59639917652822
2024-06-01,LAX,Los Angeles,1287070.651806593,12911.76793163744,99.6819845757071
2024-07-01,LAX,Los Angeles,1345411.0629610121,12911.76793163744,104.20037519915294
2024-08-01,LAX,Los Angeles,1370443.9385060929,12911.76793163744,106.13913956338405
2024-09-01,LAX,Los Angeles,1328452.7685892321,12911.76793163744,102.88697687434046
2024-10-01,LAX,Los Angeles,1307263.6608177796,12911.76793163744,101.24590743414915
2024-11-01,LAX,Los Angeles,1357552.3669011742,12911.76793163744,105.14070374319472
2024-12-01,LAX,Los Angeles,1426638.295525819,12911.76793163744,110.49132102430036
2025-01-01,LAX,Los Angeles,1398963.6058286726,12911.76793163744,108.34795151489836
2025-02-01,LAX,Los Angeles,1448134.997533977,12911.76793163744,112.15621324680423
2025-03-01,LAX,Los Angeles,1420546.1111459434,12911.76793163744,110.01948909453434
2025-04-01,LAX,Los Angeles,1476795.3652187586,12911.76793163744,114.37592226237255
2025-05-01,LAX,Los Angeles,1519387.974659264,12911.76793163744,117.6746656773732
2025-06-01,LAX,Los Angeles,1454490.2826721892,12911.76793163744,112.64842199558757
2025-07-01,LAX,Los Angeles,1434062.6928656697,12911.76793163744,111.06633115297986
2025-08-01,LAX,Los Angeles,1385760.590757817,12911.76793163744,107.32539479448948
2025-09-01,LAX,Los Angeles,1373403.026139766,12911.76793163744,106.36831713607125
2025-10-01,LAX,Los Angeles,1415674.9905461073,12911.76793163744,109.64222700109936
2025-11-01,LAX,Los Angeles,1408823.3877990842,12911.76793163744,109.1115790849271
2025-12-01,LAX,Los Angeles,1444171.6584073901,12911.76793163744,111.84925767359604
2026-01-01,LAX,Los Angeles,1416387.808302924,12911.76793163744,109.69743382952059
2022-01-01,MIA,Miami,578828.3223538697,7005.151632482519,82.62894976746446
2022-02-01,MIA,Miami,585680.0176114142,7005.151632482519,83.60704355001351
2022-03-01,MIA,Miami,584206.4331763387,7005.151632482519,83.39668629975178
2022-04-01,MIA,Miami,586850.8555448055,7005.151632482519,83.7741831059886
2022-05-01,MIA,Miami,576490.1845601052,7005.151632482519,82.29517572281385
2022-06-01,MIA,Miami,576097.6661466062,7005.151632482519,82.23914290095759
2022-07-01,MIA,Miami,586809.0016026795,7005.151632482519,83.76820836849228
2022-08-01,MIA,Miami,550172.338000536,7005.151632482519,78.53824825852675
2022-09-01,MIA,Miami,567539.7395559847,7005.151632482519,81.01748103843076
2022-10-01,MIA,Miami,566735.9351520836,7005.151632482519,80.90273628398835
2022-11-01,MIA,Miami,557817.2241885364,7005.151632482519,79.62957170005676
2022-12-01,MIA,Miami,616960.6937865317,7005.151632482519,88.07242528851445
2023-01-01,MIA,Miami,593839.8081080317,7005.151632482519,84.77187065508016
